Incident_ID,Incident_Date,State,City Or County,Address,Latitude,Longitude,Killed,Injured,Operations,label_col
606167,07/17/16,Ohio,Columbus,2600 block of Kenview Road South,39.9328818,-82.9243772,1,1,N/A,Killed: 1 Injured:1
605578,07/17/16,Louisiana,Sulphur,Dahlia Lane,30.1975468,-93.3793918,2,0,N/A,Killed: 2 Injured:0
605651,07/17/16,Pennsylvania,Knoxville,Grimes Ave and Zara St,40.4157798,-79.9930505,1,0,N/A,Killed: 1 Injured:0
605469,07/17/16,Michigan,Detroit,6000 block of Crane Street,42.3876601,-83.0106983,0,1,N/A,Killed: 0 Injured:1
607586,07/17/16,Indiana,Kokomo,1000 block of North Courtland Avenue,40.4946166,-86.1371938,1,0,N/A,Killed: 1 Injured:0
604744,07/16/16,New York,Yonkers,175 Willow Street,40.9293573,-73.8919127,0,2,N/A,Killed: 0 Injured:2
612583,07/16/16,Georgia,Atlanta,Lee St.,33.7226372,-84.4227359,0,0,N/A,Killed: 0 Injured:0
604190,07/16/16,Ohio,Cincinnati,6200 block of Chandler Street,39.1635096,-84.3893365,1,0,N/A,Killed: 1 Injured:0
604689,07/16/16,Texas,Lubbock,2100 block of E 30th Street,33.5669026,-101.8140316,0,3,N/A,Killed: 0 Injured:3
603829,07/15/16,Ohio,Cleveland,4100 block of East 146th Street,41.4480587,-81.5802283,0,1,N/A,Killed: 0 Injured:1
603807,07/15/16,Florida,Port Orange,829 Hudson Lane,29.1475162,-81.0114719,1,0,N/A,Killed: 1 Injured:0
603424,07/14/16,Alabama,Leighton,1500 block of Hwy 157,34.1998222,-86.7982783,1,0,N/A,Killed: 1 Injured:0
603798,07/14/16,North Carolina,Durham,800 block of Underwood Avenue,35.9953215,-78.922889,0,1,N/A,Killed: 0 Injured:1
604797,07/14/16,Illinois,Chicago,1100 block of West Cullerton Street,41.8552308,-87.6531185,0,0,N/A,Killed: 0 Injured:0
603253,07/14/16,Colorado,Steamboat Springs,N/A,40.4849769,-106.8317158,1,0,N/A,Killed: 1 Injured:0
602468,07/13/16,Ohio,Cincinnati,5300 block of Whetsel Avenue,39.163651,-84.3924458,0,2,N/A,Killed: 0 Injured:2
601692,07/11/16,Washington,Seattle,7060 E Marginal Way S,47.5398752,-122.3221852,0,1,N/A,Killed: 0 Injured:1
600082,07/11/16,Kansas,Wichita,Harry and Volutsia,37.664551,-97.3037422,0,3,N/A,Killed: 0 Injured:3
601037,07/11/16,Texas,Avinger,Monica Dr,32.7983123,-94.5602729,1,0,N/A,Killed: 1 Injured:0
601399,07/10/16,Florida,Panama City,1722 West 17th Street,30.1798209,-85.6883284,0,1,N/A,Killed: 0 Injured:1
599799,07/10/16,North Carolina,Greenville,503-B Battle Street,35.6087006,-77.3871245,0,1,N/A,Killed: 0 Injured:1
599033,07/08/16,California,San Bernardino,2950 Del Rosa Avenue,34.1450221,-117.2528686,3,0,N/A,Killed: 3 Injured:0
598592,07/08/16,Virginia,Norfolk,Holt Street,36.846072,-76.27937,0,1,N/A,Killed: 0 Injured:1
599283,07/08/16,Arkansas,Beebe,300 block of Spring Street,35.0703929,-91.879841,1,0,N/A,Killed: 1 Injured:0
598141,07/08/16,Michigan,Alma,Penrith Avenue,43.3731439,-84.6515734,1,0,N/A,Killed: 1 Injured:0
598609,07/08/16,Minnesota,Minneapolis,Lowry Avenue N. and Penn Avenue N.,45.013262,-93.3082411,1,1,N/A,Killed: 1 Injured:1
597360,07/07/16,Virginia,Norfolk,1100 block of Holt Street,36.8467256,-76.2802618,0,1,N/A,Killed: 0 Injured:1
597003,07/06/16,Illinois,Chicago (Englewood),5700 block of South Morgan,41.7904933,-87.6501552,0,1,N/A,Killed: 0 Injured:1
596980,07/06/16,North Carolina,Fayetteville,3400 block of Cumberland Road,35.015687,-78.9306924,2,1,N/A,Killed: 2 Injured:1
596319,07/06/16,Ohio,Columbus,Grasmere Avenue and Duxberry Avenue,40.0094665,-82.9837919,0,0,N/A,Killed: 0 Injured:0
596081,07/05/16,Michigan,Detroit,12800 block of Harper Ave,42.4017107,-82.9738874,0,1,N/A,Killed: 0 Injured:1
595996,07/05/16,Michigan,Detroit,12800 block of Harper,42.331427,-83.0457538,0,1,N/A,Killed: 0 Injured:1
596057,07/05/16,California,Altadena,300 block of Figueroa Drive,34.1871963,-118.1567454,1,1,N/A,Killed: 1 Injured:1
595694,07/04/16,Oklahoma,Tulsa,1875 S. Boulder Ave,36.1346842,-95.9878045,0,2,N/A,Killed: 0 Injured:2
596902,07/04/16,Michigan,Detroit,12800 block of Harper Ave,42.4017107,-82.9738874,0,1,N/A,Killed: 0 Injured:1
595279,07/04/16,Illinois,Chicago (Englewood),5500 block of South Hermitage Avenue,41.7936043,-87.668219,0,4,N/A,Killed: 0 Injured:4
596159,07/04/16,Ohio,Cleveland,1400 block of W. 107 Street,41.4817352,-81.761476,0,4,N/A,Killed: 0 Injured:4
595324,07/04/16,Illinois,Chicago,2000 block of South Western Avenue,41.8546088,-87.6859632,0,1,N/A,Killed: 0 Injured:1
596221,07/03/16,Kentucky,Lowmansville,July Drive,37.9209213,-82.7320047,1,0,N/A,Killed: 1 Injured:0
593690,07/02/16,Indiana,Indianapolis,2300 block of Magnolia Place,39.7990906,-86.1590622,2,1,N/A,Killed: 2 Injured:1
597684,07/02/16,Ohio,Sandusky,1200 N Depot St,41.44068,-82.71855,0,0,N/A,Killed: 0 Injured:0
596989,07/02/16,California,Lemoore,800 block of Dogwood Avenue,36.3087194,-119.806044,1,0,N/A,Killed: 1 Injured:0
593908,07/02/16,Ohio,Ravenna,600 block of South Meridian Street,41.1519737,-81.245403,0,0,N/A,Killed: 0 Injured:0
593165,07/01/16,Tennessee,Clarksville,874 Samantha Lane,36.6308477,-87.3050691,1,0,N/A,Killed: 1 Injured:0
593423,07/01/16,Missouri,Saint Louis,4700 block of Kossuth Ave,38.6769309,-90.2415098,0,2,N/A,Killed: 0 Injured:2
592306,06/30/16,Michigan,Grand Rapids,Houseman Ave NE and Leonard St NE,42.9844675,-85.6464312,0,2,N/A,Killed: 0 Injured:2
592530,06/29/16,Wisconsin,Milwaukee,3800 block of W. Fairmount Ave.,43.1082663,-87.9602171,0,2,N/A,Killed: 0 Injured:2
592207,06/29/16,Nevada,Las Vegas,6100 block of West Lake Mead Boulevard,36.1957793,-115.2239542,5,0,N/A,Killed: 5 Injured:0
592492,06/29/16,Georgia,Columbus,215 4th St.,32.4535782,-84.9896158,0,1,N/A,Killed: 0 Injured:1
592128,06/29/16,New York,Buffalo,Humason Avenue,42.91616,-78.799629,0,2,N/A,Killed: 0 Injured:2
592629,06/29/16,Idaho,Nampa,5875 E Franklin Rd,43.6028742,-116.510455,0,1,N/A,Killed: 0 Injured:1
591184,06/28/16,Illinois,Chicago,6400 block of South King Drive,41.7766111,-87.6158293,0,2,N/A,Killed: 0 Injured:2
591197,06/26/16,North Carolina,Henderson,1603 Maple St,36.317392,-78.399707,0,2,N/A,Killed: 0 Injured:2
589165,06/26/16,Texas,Houston,6000 block of Elm Street,29.7127764,-95.4869789,1,3,N/A,Killed: 1 Injured:3
587988,06/25/16,Ohio,Cleveland,3578 W 120th Street,41.4554951,-81.772144,0,1,N/A,Killed: 0 Injured:1
588009,06/25/16,New Jersey,East Orange,112 Norman Street,40.7789407,-74.2036086,1,0,N/A,Killed: 1 Injured:0
590664,06/24/16,Arizona,Williams,233 North Grand Canyon Boulevard,35.2517633,-112.1901999,0,1,N/A,Killed: 0 Injured:1
586609,06/23/16,Pennsylvania,Philadelphia,1800 block of N 20th Street,39.9819061,-75.1671925,1,0,N/A,Killed: 1 Injured:0
586159,06/21/16,Florida,Altamonte Springs,Terrace Lane,28.6666128,-81.3570784,0,3,N/A,Killed: 0 Injured:3
586692,06/20/16,Colorado,Del Norte,N/A,37.6788919,-106.3533683,1,0,N/A,Killed: 1 Injured:0
584697,06/20/16,Tennessee,Memphis,5308 Steuben Drive,35.2194517,-89.8863411,0,0,N/A,Killed: 0 Injured:0
584156,06/20/16,Missouri,Kansas City,East 8th Street and The Paseo,39.1038644,-94.5637821,1,0,N/A,Killed: 1 Injured:0
587639,06/19/16,Missouri,Kansas City,35th Street and Norton Avenue,39.062098,-94.535945,0,1,N/A,Killed: 0 Injured:1
583819,06/19/16,Arkansas,Cotton Plant,N/A,35.0019582,-91.2463945,0,1,N/A,Killed: 0 Injured:1
583854,06/19/16,Illinois,Chicago,6100 block of South Kimbark Avenue,41.7839693,-87.5954598,0,1,N/A,Killed: 0 Injured:1
585484,06/18/16,Indiana,Bloomington,1000 block of South Basswood Circle,39.1515431,-86.5709862,0,0,N/A,Killed: 0 Injured:0
583184,06/18/16,Indiana,Fort Wayne,10800 block of Patrician Place,41.1818155,-85.1304136,0,0,N/A,Killed: 0 Injured:0
584745,06/18/16,Missouri,Saint Louis,E Grand Ave and Blair Ave,38.6715128,-90.2066232,0,1,N/A,Killed: 0 Injured:1
583179,06/17/16,Iowa,Elgin,210 Main St,42.9569572,-91.6290806,1,0,N/A,Killed: 1 Injured:0
583907,06/17/16,Arkansas,Texarkana,6000 block of Summerwood Lane,33.4802401,-94.0192535,0,1,N/A,Killed: 0 Injured:1
656819,06/16/16,Indiana,Evansville,400 block of East Iowa Street,37.9829829,-87.5586856,0,0,N/A,Killed: 0 Injured:0
582496,06/14/16,Missouri,Saint Louis,N Kingshighway Blvd and Lillian Ave,38.6867121,-90.2446915,0,1,N/A,Killed: 0 Injured:1
579777,06/13/16,Illinois,Peoria,1400 block of South Arago Street,40.6730604,-89.6301758,0,1,N/A,Killed: 0 Injured:1
581592,06/12/16,South Carolina,Beaufort,100 River Chase Blvd,32.4000325,-80.7675119,0,0,N/A,Killed: 0 Injured:0
577792,06/12/16,Pennsylvania,Littlestown,35 James Ave,39.744406,-77.091453,2,1,N/A,Killed: 2 Injured:1
580341,06/11/16,Arkansas,Little Rock,3400 block of Fair Park Boulevard,34.7212419,-92.332963,0,0,N/A,Killed: 0 Injured:0
576603,06/10/16,California,Los Angeles,S Chicago St and Rogers Ave,34.0362151,-118.218072,0,1,N/A,Killed: 0 Injured:1
575987,06/09/16,Tennessee,Memphis,500 block of Jacklyn Avenue,35.0941937,-90.0458717,0,1,N/A,Killed: 0 Injured:1
575652,06/09/16,Massachusetts,Springfield,Belmont Ave and Euclid Ave,42.0883196,-72.5696911,0,2,N/A,Killed: 0 Injured:2
574549,06/08/16,Georgia,Augusta,3600 block of Old McDuffie Road,33.4258249,-82.0907249,0,1,N/A,Killed: 0 Injured:1
574881,06/07/16,Indiana,Hammond,900 block of Bauer Street,41.6093303,-87.5069181,0,0,N/A,Killed: 0 Injured:0
574339,06/07/16,Pennsylvania,Chester,400 block of Whittington Place,39.844966,-75.3660522,0,1,N/A,Killed: 0 Injured:1
574533,06/07/16,Kansas,Wichita,700 block of S Fountain,37.675583,-97.2885256,0,1,N/A,Killed: 0 Injured:1
639268,06/07/16,Michigan,Redford,Winston Street,42.392726,-83.2822361,0,1,N/A,Killed: 0 Injured:1
575039,06/07/16,Michigan,Redford Twp (Redford Charter Township),15000 block of Winston,42.3944486,-83.2973732,0,1,N/A,Killed: 0 Injured:1
574806,06/07/16,Oregon,Glide,N/A,43.3015069,-123.1011754,0,1,N/A,Killed: 0 Injured:1
573562,06/06/16,Illinois,East Saint Louis,1516 Gross Ave,38.6328276,-90.1291311,0,0,N/A,Killed: 0 Injured:0
572987,06/06/16,Arkansas,Little Rock,6900 Cantrell Road,34.7701584,-92.3521187,1,2,N/A,Killed: 1 Injured:2
573759,06/06/16,Illinois,Chicago,2100 block of North Bingham Street,41.918694,-87.6925627,0,1,N/A,Killed: 0 Injured:1
572696,06/05/16,Florida,Cape Coral,2600 block of Skyline Boulevard S,26.6035305,-81.9909408,3,3,N/A,Killed: 3 Injured:3
