Incident ID,Incident Date,State,City Or County,Address,Full Address,Latitude,Longitude,Killed,Injured,Operations,label_col,Classification
525422,17-Mar-16,Missouri,Saint Louis,Hydraulic Ave,Missouri Saint Louis Hydraulic Ave,38.5869332,-90.2507318,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
524378,17-Mar-16,Kentucky,Pikeville,143 Main Street,Kentucky Pikeville 143 Main Street,37.4791865,-82.5178717,2,0,School Incidents,Killed: 2 Injured:0,School_University/college
523287,15-Mar-16,Alabama,Birmingham,950 Springville Rd.,Alabama Birmingham 950 Springville Rd.,33.6118093,-86.6827443,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
513523,29-Feb-16,Ohio,Middletown,5797 W Alexandria Rd,Ohio Middletown 5797 W Alexandria Rd,39.534183,-84.4431221,0,2,School Incidents,Killed: 0 Injured:2,School_elementary/secondary
511183,23-Feb-16,Minnesota,Faribault,704 17th Street S.W.,Minnesota Faribault 704 17th Street S.W.,44.2703834,-93.2786397,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
512782,22-Feb-16,Minnesota,Cambridge,31374 Xylite Street N.E.,Minnesota Cambridge 31374 Xylite Street N.E.,45.5382534,-93.2071753,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
508500,18-Feb-16,Washington,Auburn,4248 S 288th St,Washington Auburn 4248 S 288th St,47.3448259,-122.2796542,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
506960,17-Feb-16,Pennsylvania,Chester,1100 block of Highland Avenue,Pennsylvania Chester 1100 block of Highland Avenue,39.8374461,-75.3973575,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
503878,12-Feb-16,Arizona,Glendale,6602 N 75th Avenue,Arizona Glendale 6602 N 75th Avenue,33.5324388,-112.2227537,2,0,School Incidents,Killed: 2 Injured:0,School_elementary/secondary
502749,9-Feb-16,Michigan,Muskegon (Muskegon Heights),2441 Sanford Street,Michigan Muskegon (Muskegon Heights) 2441 Sanford Street,43.2078626,-86.2477134,0,4,School Incidents,Killed: 0 Injured:4,School_elementary/secondary
499606,4-Feb-16,Florida,Jacksonville,8985 Lone Star Road,Florida Jacksonville 8985 Lone Star Road,30.3392574,-81.5582767,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
498376,2-Feb-16,Georgia,Lithonia,1775 Young Road,Georgia Lithonia 1775 Young Road,33.7416945,-84.1571982,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
